schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,scan_depth,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,placement_mode,flow_count,flow_zipf_alpha,flow_hash_seed,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,control_cost_mode,control_check_cost_us,control_queue_entry_cost_us,control_candidate_cost_us,control_target_cost_us,control_estimator_update_cost_us,control_poll_cost_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_queue_entries_inspected_count,rescue_accepted_candidate_count,rescue_target_evaluation_count,rescue_source_revalidation_reject_count,rescue_remote_revalidation_reject_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,rescue_short_move_count,rescue_long_move_count,rescue_burst_move_count,rescue_nonburst_move_count,avg_rescue_source_work_at_commit_us,avg_rescue_destination_work_at_commit_us,rescue_migrated_finished,rescue_migrated_slo_violation_rate,rescue_migrated_P99_us,rescue_migrated_P999_us,rescue_nonmigrated_finished,rescue_nonmigrated_slo_violation_rate,rescue_nonmigrated_P99_us,rescue_nonmigrated_P999_us,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio,estimator_observation_count,estimator_mean_signed_error_us,estimator_mae_us,estimator_rmse_us,estimator_underestimate_count,estimator_overestimate_count,estimator_exact_count,estimator_cold_start_count,estimator_short_observation_count,estimator_long_observation_count,estimator_short_mae_us,estimator_long_mae_us,control_check_count,control_queue_entry_count,control_candidate_count,control_target_count,control_estimator_update_count,control_poll_operation_count,configured_control_cost_sum_us
rescuesched-v2,rescuesched-trace-v2,b87840cb4b7f53d10429cc6b3c99787dff9dee306f3e6e9541f978637e5a9e80,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,737.002,200,rescue_w3_heavytail_main,W3,L0_RandomCore,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,313,324,0.26,200,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.26,312.871,323.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-2.59634,13.2666,28.3268,87,113,0,0,120,80,4.35713,26.6309,0,0,0,0,207,0,0
rescuesched-v2,rescuesched-trace-v2,b87840cb4b7f53d10429cc6b3c99787dff9dee306f3e6e9541f978637e5a9e80,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,667.481,200,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,181,286,0.005,200,220,0,0,0.67,134,3169.23,4357,134,134,615,4156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.2812,134,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.005,180.55,285.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-2.53246,13.282,28.3271,87,113,0,0,120,80,4.34755,26.6836,0,0,0,0,203,615,0
rescuesched-v2,rescuesched-trace-v2,b87840cb4b7f53d10429cc6b3c99787dff9dee306f3e6e9541f978637e5a9e80,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,714.04,200,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,215,288,0.025,200,220,0,0,0.235,47,722.501,0,0,0,0,0,662,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2147,47,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.025,215.318,287.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-2.66716,13.2244,28.3207,87,113,0,0,120,80,4.35558,26.5275,662,1990,48,192,207,0,0
rescuesched-v2,rescuesched-trace-v2,b87840cb4b7f53d10429cc6b3c99787dff9dee306f3e6e9541f978637e5a9e80,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,714.04,200,rescue_w3_heavytail_main,W3,M1_RescueSched,0.7,11,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,215,288,0.025,200,220,0,0,0.235,47,722.501,0,0,0,0,0,0,0,0,662,2453,48,192,192,47,4906,48,192,0,0,47,0.5,0.5,1,47.2147,47,0.5,0.5,722.501,0,0,0,42,5,0,47,100.79,1.51179e-16,47,0,87.4584,87.4584,153,0.0326797,285.688,287.636,0,47,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,200,-2.66716,13.2244,28.3207,87,113,0,0,120,80,4.35558,26.5275,662,4906,48,192,207,0,0
rescuesched-v2,rescuesched-trace-v2,73abdf17b4a70f9ceb48ad4ccba8806fc86dd41c8f630125d1533fda7f2dcdca,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,652.364,200,rescue_w3_heavytail_main,W3,L0_RandomCore,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,327,342,0.315,200,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.315,327.025,342.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-2.75651,13.2332,28.294,87,113,0,0,120,80,4.3559,26.5492,0,0,0,0,209,0,0
rescuesched-v2,rescuesched-trace-v2,73abdf17b4a70f9ceb48ad4ccba8806fc86dd41c8f630125d1533fda7f2dcdca,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,582.842,200,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,181,286,0.005,200,220,0,0,0.745,149,3821.66,3125,149,149,540,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.9902,149,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.005,180.82,285.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-2.73221,13.2212,28.3194,87,113,0,0,120,80,4.34968,26.5284,0,0,0,0,207,540,0
rescuesched-v2,rescuesched-trace-v2,73abdf17b4a70f9ceb48ad4ccba8806fc86dd41c8f630125d1533fda7f2dcdca,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,642.461,200,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,250,297,0.025,200,220,0,0,0.285,57,841.242,0,0,0,0,0,600,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.7535,57,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.025,250.057,297.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-2.80907,13.2089,28.3012,87,113,0,0,120,80,4.35706,26.4866,600,2922,61,244,209,0,0
rescuesched-v2,rescuesched-trace-v2,73abdf17b4a70f9ceb48ad4ccba8806fc86dd41c8f630125d1533fda7f2dcdca,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,642.461,200,rescue_w3_heavytail_main,W3,M1_RescueSched,0.85,11,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,250,297,0.025,200,220,0,0,0.285,57,841.242,0,0,0,0,0,0,0,0,600,3295,61,244,244,57,6590,61,244,0,0,57,0.5,0.5,1,47.7535,57,0.5,0.5,841.242,0,0,0,52,5,0,57,103.727,0.0633737,57,0,118.772,118.772,143,0.034965,285.688,297.209,0,57,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,200,-2.80907,13.2089,28.3012,87,113,0,0,120,80,4.35706,26.4866,600,6590,61,244,209,0,0
rescuesched-v2,rescuesched-trace-v2,b626565dc0d8693390a5f809adbf36f59416246d89fd9a1143274e4dcda877f6,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,633.04,200,rescue_w3_heavytail_main,W3,L0_RandomCore,0.9,11,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,331,347,0.35,200,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.35,331.26,347.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-2.81376,13.1942,28.2663,88,112,0,0,120,80,4.35078,26.4594,0,0,0,0,209,0,0
rescuesched-v2,rescuesched-trace-v2,b626565dc0d8693390a5f809adbf36f59416246d89fd9a1143274e4dcda877f6,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,20,200,5572,562.363,200,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.9,11,1,64,2,1,16,4,0.5,ewma,0,0.01,4,0.5,request_random,4096,0,1381192497,append_tail,1.25,5,1,16,40,0,accounting_only,0,0,0,0,0,0,1,1,181,286,0.005,200,220,0,0,0.76,152,3749.66,2811,152,152,522,2622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8584,152,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.005,180.779,285.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-2.803,13.1582,28.2732,87,113,0,0,120,80,4.34948,26.3712,0,0,0,0,208,522,0
